更新时间: 2026-04-10 09:10:49（北京时间）

更新时间,#genre#
2026-04-10 09:10:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://220.176.218.27:9000/rtp/239.252.219.200:5140$江西电信
CCTV1,http://106.116.240.74:9999/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://223.10.214.111:6000/rtp/239.1.1.7:8007$山西电信
CCTV1,http://58.19.32.207:4022/rtp/239.254.96.96:8550$湖北电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://220.176.218.27:9000/rtp/239.252.220.183:5140$江西电信
CCTV2,http://106.116.240.74:9999/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://223.10.214.111:6000/rtp/239.1.1.8:8008$山西电信
CCTV2,http://58.19.32.207:4022/rtp/239.69.1.102:10250$湖北电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://220.176.218.27:9000/rtp/239.252.219.252:5140$江西电信
CCTV3,http://106.116.240.74:9999/rtp/239.254.201.152:7205$河北省电信
CCTV3,http://223.10.214.111:6000/rtp/239.1.1.9:8009$山西电信
CCTV3,http://58.19.32.207:4022/rtp/239.69.1.122:10370$湖北电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://220.176.218.27:9000/rtp/239.252.220.184:5140$江西电信
CCTV4,http://106.116.240.74:9999/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
CCTV4,http://58.19.32.207:4022/rtp/239.69.1.138:10466$湖北电信
CCTV4欧洲,http://220.176.218.27:9000/rtp/239.252.219.192:5140$江西电信
CCTV4欧洲,http://106.116.240.74:9999/rtp/239.254.201.205:4220$河北省电信
CCTV4欧洲,http://58.19.32.207:4022/rtp/239.69.1.231:11028$湖北电信
CCTV4美洲,http://220.176.218.27:9000/rtp/239.252.219.193:5140$江西电信
CCTV4美洲,http://106.116.240.74:9999/rtp/239.254.201.206:4220$河北省电信
CCTV4美洲,http://58.19.32.207:4022/rtp/239.69.1.232:11034$湖北电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://220.176.218.27:9000/rtp/239.252.219.198:5140$江西电信
CCTV5,http://106.116.240.74:9999/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
CCTV5,http://58.19.32.207:4022/rtp/239.69.1.123:10376$湖北电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://220.176.218.27:9000/rtp/239.252.219.72:5140$江西电信
CCTV5+,http://106.116.240.74:9999/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://223.10.214.111:6000/rtp/239.1.1.12:8012$山西电信
CCTV5+,http://58.19.32.207:4022/rtp/239.254.96.234:9484$湖北电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://220.176.218.27:9000/rtp/239.252.219.237:5140$江西电信
CCTV6,http://106.116.240.74:9999/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://223.10.214.111:6000/rtp/239.1.1.13:8013$山西电信
CCTV6,http://58.19.32.207:4022/rtp/239.69.1.124:10382$湖北电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://220.176.218.27:9000/rtp/239.252.220.185:5140$江西电信
CCTV7,http://106.116.240.74:9999/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://223.10.214.111:6000/rtp/239.1.1.14:8014$山西电信
CCTV7,http://58.19.32.207:4022/rtp/239.69.1.103:10256$湖北电信
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://220.176.218.27:9000/rtp/239.252.219.253:5140$江西电信
CCTV8,http://106.116.240.74:9999/rtp/239.254.201.155:7208$河北省电信
CCTV8,http://223.10.214.111:6000/rtp/239.1.1.15:8015$山西电信
CCTV8,http://58.19.32.207:4022/rtp/239.69.1.125:10388$湖北电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://220.176.218.27:9000/rtp/239.252.220.186:5140$江西电信
CCTV9,http://106.116.240.74:9999/rtp/239.254.200.59:8112$河北省电信
CCTV9,http://223.10.214.111:6000/rtp/239.1.1.16:8016$山西电信
CCTV9,http://58.19.32.207:4022/rtp/239.69.1.104:10262$湖北电信
CCTV10,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV10,http://220.176.218.27:9000/rtp/239.252.220.91:5140$江西电信
CCTV10,http://106.116.240.74:9999/rtp/239.254.200.160:6000$河北省电信
CCTV10,http://223.10.214.111:6000/rtp/239.1.1.17:8017$山西电信
CCTV10,http://58.19.32.207:4022/rtp/239.69.1.105:10268$湖北电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://220.176.218.27:9000/rtp/239.252.219.78:5140$江西电信
CCTV11,http://106.116.240.74:9999/rtp/239.254.201.123:8120$河北省电信
CCTV11,http://223.10.214.111:6000/rtp/239.1.1.18:8018$山西电信
CCTV11,http://58.19.32.207:4022/rtp/239.69.1.154:10560$湖北电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://220.176.218.27:9000/rtp/239.252.220.187:5140$江西电信
CCTV12,http://106.116.240.74:9999/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://223.10.214.111:6000/rtp/239.1.1.19:8019$山西电信
CCTV12,http://58.19.32.207:4022/rtp/239.69.1.106:10274$湖北电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://220.176.218.27:9000/rtp/239.252.219.139:5140$江西电信
CCTV13,http://106.116.240.74:9999/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://58.19.32.207:4022/rtp/239.254.96.161:9040$湖北电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://220.176.218.27:9000/rtp/239.252.220.92:5140$江西电信
CCTV14,http://106.116.240.74:9999/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://223.10.214.111:6000/rtp/239.1.1.21:8021$山西电信
CCTV14,http://58.19.32.207:4022/rtp/239.69.1.107:10280$湖北电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://220.176.218.27:9000/rtp/239.252.219.79:5140$江西电信
CCTV15,http://106.116.240.74:9999/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://223.10.214.111:6000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://58.19.32.207:4022/rtp/239.69.1.155:10566$湖北电信
CCTV16,http://220.176.218.27:9000/rtp/239.252.220.237:5140$江西电信
CCTV16,http://106.116.240.74:9999/rtp/239.254.200.61:6344$河北省电信
CCTV16,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
CCTV16,http://58.19.32.207:4022/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://220.176.218.27:9000/rtp/239.252.220.192:5140$江西电信
CCTV17,http://106.116.240.74:9999/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://58.19.32.207:4022/rtp/239.69.1.152:10548$湖北电信
CCTV4K,http://220.176.218.27:9000/rtp/239.252.219.60:5140$江西电信
CCTV4K,http://106.116.240.74:9999/rtp/239.254.200.122:7266$河北省电信
CCTV4K,http://58.19.32.207:4022/rtp/239.69.1.12:9712$湖北电信
兵器科技,http://220.176.218.27:9000/rtp/239.252.219.98:5140$江西电信
兵器科技,http://106.116.240.74:9999/rtp/239.254.201.225:7249$河北省电信
兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
兵器科技,http://58.19.32.207:4022/rtp/239.69.1.79:10114$湖北电信
风云音乐,http://220.176.218.27:9000/rtp/239.252.219.87:5140$江西电信
风云音乐,http://106.116.240.74:9999/rtp/239.254.201.221:7259$河北省电信
风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
风云足球,http://220.176.218.27:9000/rtp/239.252.219.96:5140$江西电信
风云足球,http://106.116.240.74:9999/rtp/239.254.201.222:7251$河北省电信
风云足球,http://223.10.214.111:6000/rtp/239.1.1.101:8101$山西电信
风云足球,http://58.19.32.207:4022/rtp/239.69.1.81:10126$湖北电信
风云剧场,http://220.176.218.27:9000/rtp/239.252.219.89:5140$江西电信
风云剧场,http://106.116.240.74:9999/rtp/239.254.201.219:7257$河北省电信
